Accession	Sample1-rep1	Sample1-rep2	Sample1-rep3	Sample2-rep1	Sample2-rep2	Sample2-rep3	Ratio	Fold_Change	P-val
A1L4H1	 513329.48503098 	 356614.384674254 	 878930.481487924 	 193393.63314017 	 338183.912108894 	 921184.521616494 	 1.2038271036127 	 1.2038271036127 	 0.736195962963332 
A1L4K1	 981551.329887502 	 71823.6821118721 	 318982.257601203 	 593504.015314297 	 951907.458918997 	 850215.360713786 	 0.572859365899904 	 -1.74562913609539 	 0.338264858727522 
A2VEC9	 135600.003049154 	 52247.5844703669 	 704751.505617697 	 85583.7586451692 	 820108.787636854 	 14464.8022839621 	 0.970050496828923 	 -1.03087416919942 	 0.979136628737777 
A4D0S4	 941511.922790775 	 730095.230777684 	 828614.43979 	 672834.627201189 	 320395.434131688 	 939193.416587063 	 1.2938269597354 	 1.2938269597354 	 0.405488592136873 
A4GXA9-2	 296167.80319652 	 553181.493294106 	 321316.103912972 	 460852.38495057 	 775775.815345679 	 966001.22393922 	 0.531485408994722 	 -1.88151919709602 	 0.130138152102122 
A4UGR9-2	 548645.317344843 	 386321.219361413 	 699287.405270411 	 172001.293749018 	 450367.36664154 	 638809.279561657 	 1.29581551516718 	 1.29581551516718 	 0.493717327933884 
A6NGG8	 483575.373720265 	 607552.538163814 	 802089.424272903 	 353729.596733879 	 455600.816779132 	 325186.473169633 	 1.66874319666832 	 1.66874319666832 	 0.0961578900190872 
A6NMB1	 806242.699644751 	 46817.4487532481 	 721876.89832889 	 694702.94177738 	 993183.743840929 	 754406.413084025 	 0.644859966874452 	 -1.5507242678544 	 0.354854108300651 
A7E2Y1	 169933.118086815 	 157064.486554654 	 393373.453290094 	 24301.3671162985 	 859413.843499937 	 602242.190943624 	 0.484785806898209 	 -2.0627666605965 	 0.413059991299477 
A8MVX0-2	 777649.070103742 	 856274.981174361 	 652704.326040711 	 729933.483978959 	 520127.79041151 	 87093.5155607513 	 1.71007006406658 	 1.71007006406658 	 0.231258362441237 
